"aa"	"yes"	1
"aá"	"no"	1
"áa"	"no"	1
"áa"	"yes"	60
"ae"	"no"	4
"ae"	"yes"	9
"áe"	"no"	5
"áe"	"yes"	5
"ai"	"yes"	588
"ai"	"no"	8
"aí"	"no"	14
"aí̵"	"no"	9
"ái"	"no"	20
"ái"	"yes"	338
"aɨ"	"no"	2
"aɨ"	"yes"	515
"áɨ"	"yes"	278
"áɨ"	"no"	7
"ao"	"no"	12
"aó"	"no"	4
"áo"	"no"	10
"au"	"no"	9
"au"	"yes"	1
"aú"	"no"	2
"áu"	"no"	8
"ea"	"no"	6
"eá"	"no"	8
"éa"	"no"	2
"ee"	"yes"	2
"eé"	"no"	1
"ée"	"yes"	49
"ei"	"no"	3
"ei"	"yes"	19
"eí"	"no"	12
"eí̵"	"no"	3
"éi"	"yes"	31
"éi"	"no"	8
"eɨ"	"no"	2
"eɨ"	"yes"	1
"éɨ"	"yes"	7
"éɨ"	"no"	12
"eo"	"no"	10
"eó"	"no"	1
"éo"	"no"	10
"eu"	"no"	1
"éu"	"no"	1
"ia"	"yes"	3
"ia"	"no"	59
"iá"	"no"	34
"ía"	"yes"	5
"ía"	"no"	26
"í̵a"	"no"	16
"ie"	"yes"	2
"ie"	"no"	60
"ié"	"no"	9
"íe"	"yes"	1
"íe"	"no"	33
"í̵e"	"no"	13
"ii"	"no"	4
"ií̵"	"no"	2
"íi"	"no"	1
"íi"	"yes"	54
"í̵i"	"no"	42
"iɨ"	"no"	2
"íɨ"	"no"	11
"í̵ɨ"	"yes"	52
"í̵ɨ"	"no"	5
"io"	"no"	31
"io"	"yes"	4
"ió"	"no"	20
"ío"	"yes"	1
"ío"	"no"	20
"í̵o"	"no"	7
"iu"	"yes"	2
"iú"	"no"	4
"íu"	"no"	2
"í̵u"	"no"	3
"ɨa"	"no"	47
"ɨá"	"no"	38
"ɨe"	"no"	115
"ɨe"	"yes"	16
"ɨé"	"no"	36
"ɨi"	"no"	44
"ɨí"	"no"	45
"ɨɨ"	"no"	2
"ɨo"	"no"	18
"ɨó"	"no"	17
"ɨu"	"no"	5
"oa"	"no"	8
"oá"	"no"	5
"óa"	"no"	7
"oe"	"no"	4
"oé"	"no"	9
"óe"	"no"	3
"oi"	"no"	7
"oi"	"yes"	86
"oí"	"no"	5
"ói"	"no"	21
"ói"	"yes"	25
"oɨ"	"no"	2
"oɨ"	"yes"	159
"óɨ"	"no"	3
"óɨ"	"yes"	10
"oo"	"yes"	1
"óo"	"yes"	35
"ua"	"yes"	19
"ua"	"no"	54
"uá"	"no"	46
"úa"	"no"	29
"úa"	"yes"	18
"ue"	"no"	28
"ue"	"yes"	99
"ué"	"no"	9
"ué"	"yes"	6
"úe"	"no"	38
"úe"	"yes"	26
"ui"	"no"	22
"ui"	"yes"	214
"uí"	"yes"	93
"uí"	"no"	28
"úi"	"no"	27
"úi"	"yes"	80
"uo"	"no"	1
"úu"	"yes"	29
