id	title	author	year	isbn	bibtex_key	columns	pages	origfilepath	type	is_ready
26	Diccionario Bora—Castellano Castellano—Bora	Thiesen, Wesley & Thiesen, Eva	1998		thiesen1998	2	365		dictionary	t
27	Vocabulario Bilingüe Huitoto - Español y Español - Huitoto	Minor, Eugen E. & Minor, Dorothy A.	1987		minor1987	2	317		dictionary	t
28	Vocabulario Huitoto Muinane	Minor, Eugen E. & de Minor, Dorothy Hendrich	1971		minor1971	2	141		dictionary	t
30	Vocabulario Ocaina	Leach, Ilo M.	1969		leach1969	2	176		dictionary	t
33	Diccionario Achuar-Shiwiar ~ Castellano	Fast Mowitz, Gerhard & de Fast, Ruby Warkentin & Fast Warkentin, Daniel	2008		fastmowitz2008	2	517		dictionary	f
34	Vocabulario Aguaruna de Amazonas	Larson, Mildred L.	1996		larson1996	2	211		dictionary	f
35	Vocabulario Huambisa	Jakway, Martha	2008		jakway2008	2	226		dictionary	f
36	Chicham Diccionario Shuar-Castellano	Pellizaro, P. Siro M. & Náwech, Fausto Oswaldo	2005		pellizaronawech2005	1	556		dictionary	f
37	Diccionario Aguaruna ~ Castellano	Wipio Deicat, Gerardo	1996		wipiodeicat1996	2	296		dictionary	f
38	Análise descritiva e teórica do Katukino-Pano	de Aguiar, Maria Suelí	1994		aguiar1994	1	45		dictionary	t
39	Vocabulario Cashibo-Cacataibo	Shell, Olive	1987		shell1987	2	105		dictionary	t
40	Aspectos da Fonologia da Língua Kaxarari	Sousa, Gladys Cavalcante	2004		sousa2004	1	132		dictionary	t
41	Vocabulario Shipibo-Castellano	Loriot, James & Lauriault, Erwin & Day, Dwight	1993		loriot1993	2	554		dictionary	f
42	Lecciones para el aprendizaje del idioma mayoruna	Kneeland, Harriet	1979		kneeland1979	1	248		dictionary	f
43	Diccionario Capanahua	Montag, Susan	2008		montag2008	2	621		dictionary	f
44	Diccionario Amahuaca	Hyde, Sylvia	2008		hyde2008	2	154		dictionary	f
45	La Lengua Zápara del Ecuador	Stark, Louisa R.	1976		stark1976	1	174		dictionary	f
46	VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia	Huber, Randall Q. & Reed, Robert B.	1992		huber1992	0	392		wordlist	f
366	Diccionario Uitoto-Español	Preuss, Konrad Theodor	1994		preuss1994	1	912		dictionary	t
398	A Preliminary Phonological History of the Sogeram Languages of Papua New Guinea - Aisi	Daniels, Don R.	2010		daniels2010aisi	1	31		dictionary	f
399	Preliminary Dictionary of Apali̵	Wade, Martha			wadeND	1	1		dictionary	f
400	A Preliminary Phonological History of the Sogeram Languages of Papua New Guinea - Kulsab	Daniels, Don R.	2010		daniels2010kulsab	1	31		dictionary	f
401	A Preliminary Phonological History of the Sogeram Languages of Papua New Guinea - Manat	Daniels, Don R.	2010		daniels2010manat	1	31		dictionary	f
402	A Preliminary Phonological History of the Sogeram Languages of Papua New Guinea - Mum	Daniels, Don R.	2010		daniels2010mum	1	31		dictionary	f
403	A Preliminary Phonological History of the Sogeram Languages of Papua New Guinea - Nend	Daniels, Don R.	2010		daniels2010nend	1	31		dictionary	f
404	A Preliminary Phonological History of the Sogeram Languages of Papua New Guinea - Sirva	Daniels, Don R.	2010		daniels2010sirva	1	31		dictionary	f
405	Diccionario Bilingüe Muinane-Español Español-Muinane	Walton, James W. & Walton, Janice P. & de Buenaventure, Clementina Pakky	1997		walton1997	2	219		dictionary	t
410	Vocabulario Siriano y Español	Trujillo, Olga	1980		trujillo1980	1	128		dictionary	f
411	Mi Primer Diccionario	César Tamayo L.	1988		tamayo1988	1	190		dictionary	f
434	A Comparative Word List of the Mabuso Languages, Madang Province, Papua New Guinea	Z'graggen J. A.	1980		zgraggen1980c	2	184		wordlist	f
435	A Comparative Word List of the Rai Coast Languages, Madang Province, Papua New Guinea	Z'graggen J. A.	1980		zgraggen1980	2	181		wordlist	f
436	A Comparative Word List of the Northern Adelbert Range Languages, Madang Province, Papua New Guinea	Z'graggen J. A.	1980		zgraggen1980b	2	177		wordlist	f
437	A Comparative Word List of the Southern Adelbert Range Languages, Madang Province, Papua New Guinea	Z'graggen J. A.	1980		zgraggen1980d	2	99		wordlist	f
444	Diccionario Huitoto Murui	Burtch, Shirley	1983		burtch1983	2	262		dictionary	t
451	Marĩ Yaye Mena Carapana, Yaia Yaye Mena Español Macãrĩcã Tuti	Metzger, Ronald G.	2000		metzger2000	2	157		dictionary	f
455	A Língua Dos Índios Yawanawá Do Acre	Paula, Aldir Santos de	2004		paula2004	1	302		dictionary	f
459	Diccionario TUCANO - CASTELLANO	Gallo, M., Carlos, I.	1972		gallo1972	1	100		dictionary	f
460	Datos del idioma huariapano	Parker, Stephen	1992		parker1992	2	54		dictionary	f
